id,countryCode,date,totalCases,newCases,totalDeaths,newDeaths
4571,CIV,2020-03-31,168,3,1,0
4572,CIV,2020-04-01,168,0,1,0
4573,CIV,2020-04-02,190,22,1,0
4574,CIV,2020-04-03,194,4,1,0
4575,CIV,2020-04-04,218,24,1,0
4576,CIV,2020-04-05,245,27,2,1
4577,CIV,2020-04-06,261,16,3,1
4578,CIV,2020-04-07,323,62,3,0
4579,CIV,2020-04-08,349,26,3,0
4580,CIV,2020-04-09,384,35,3,0
4581,CIV,2020-04-10,444,60,3,0
4582,CIV,2020-04-11,480,36,3,0
4583,CIV,2020-04-12,533,53,4,1
4584,CIV,2020-04-13,574,41,5,1
4585,CIV,2020-04-14,626,52,6,1
4586,CIV,2020-04-15,626,0,6,0
4587,CIV,2020-04-16,654,28,6,0
4588,CIV,2020-04-17,688,34,6,0
4589,CIV,2020-04-18,742,54,6,0
4590,CIV,2020-04-19,801,59,8,2
4591,CIV,2020-04-20,847,46,9,1
4592,CIV,2020-04-21,879,32,10,1
4593,CIV,2020-04-22,916,37,13,3
4594,CIV,2020-04-23,952,36,14,1
4595,CIV,2020-04-24,1004,52,14,0
4596,CIV,2020-04-25,1077,73,14,0
4597,CIV,2020-04-26,1111,34,14,0
4598,CIV,2020-04-27,1150,39,14,0
4599,CIV,2020-04-28,1164,14,14,0
4600,CIV,2020-04-29,1183,19,14,0
4601,CIV,2020-04-30,1238,55,14,0
4602,CIV,2020-05-01,1275,37,14,0
4603,CIV,2020-05-02,1333,58,15,1
4604,CIV,2020-05-03,1362,29,15,0
4605,CIV,2020-05-04,1398,36,17,2
4606,CIV,2020-05-05,1432,34,17,0
4607,CIV,2020-05-06,1464,32,18,1
4608,CIV,2020-05-07,1516,52,18,0
4609,CIV,2020-05-08,1571,55,20,2
4610,CIV,2020-05-09,1602,31,20,0
4611,CIV,2020-05-10,1667,65,21,1
4612,CIV,2020-05-11,1700,33,21,0
4613,CIV,2020-05-12,1730,30,21,0
4614,CIV,2020-05-13,1857,127,21,0
4615,CIV,2020-05-14,1912,55,24,3
4616,CIV,2020-05-15,1971,59,24,0
4617,CIV,2020-05-16,2017,46,24,0
4618,CIV,2020-05-17,2061,44,25,1
4619,CIV,2020-05-18,2109,48,27,2
4620,CIV,2020-05-19,2119,10,28,1
4621,CIV,2020-05-20,2153,34,28,0
4622,CIV,2020-05-21,2231,78,29,1
4623,CIV,2020-05-22,2231,0,29,0
4624,CIV,2020-05-23,2301,70,29,0
4625,CIV,2020-05-24,2366,65,30,1
4626,CIV,2020-05-25,2376,10,30,0
4627,CIV,2020-05-26,2423,47,30,0
4628,CIV,2020-05-27,2477,54,30,0
4629,CIV,2020-05-28,2556,79,31,1
4630,CIV,2020-05-29,2641,85,32,1
4631,CIV,2020-05-30,2750,109,32,0
